network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T06:00:00Z,2.76,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T06:00:00Z,4.6,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T06:00:00Z,2.11,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T06:45:00Z,8.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T06:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T07:00:00Z,3.18,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T07:00:00Z,1.94,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T07:00:00Z,4.86,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T07:00:00Z,1.95,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T07:45:00Z,10.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T07:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T08:00:00Z,3.34,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T08:00:00Z,1.9,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T08:00:00Z,4.47,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T08:00:00Z,1.85,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T08:45:00Z,15.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T08:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T09:00:00Z,2.93,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T09:00:00Z,2.21,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T09:00:00Z,4.32,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T09:00:00Z,1.88,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T09:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T09:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T10:00:00Z,3.14,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T10:00:00Z,2.29,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T10:00:00Z,4.31,1111122 
